Date,Close/Last,Volume,Open,High,Low
12/28/2021,$282.77,681840,$285,$285.37,$281.61
12/27/2021,$284.3,721705,$282.95,$285.3799,$281.26
12/23/2021,$280.99,1079189,$282.13,$283.52,$280.2
12/22/2021,$282.61,979654,$280.65,$284.515,$279
12/21/2021,$280.42,1103764,$278.94,$282.12,$272.99
12/20/2021,$275.12,1651616,$270,$276.82,$268.04
12/17/2021,$277.65,2767817,$269.75,$279.7,$267.836
12/16/2021,$269.61,1956029,$273.4,$277.525,$268.44
12/15/2021,$271.73,2003760,$262.68,$272.07,$262.67
12/14/2021,$263.22,1145889,$262.835,$268.79,$260.945
12/13/2021,$268.88,1293221,$267.89,$273.625,$265.585
12/10/2021,$269,1237366,$271.02,$274.2284,$267.68
12/09/2021,$267.67,1582951,$275.48,$279.9999,$267.52
12/08/2021,$276.29,1824796,$277.39,$278.64,$273.475
12/07/2021,$276.7,2716540,$270.59,$278.55,$267.28
12/06/2021,$265.56,2260147,$259.53,$267.84,$254.16
12/03/2021,$259.02,2411587,$259.61,$263.49,$253.05
12/02/2021,$257.66,2473667,$252.743,$258.54,$250.81
12/01/2021,$249.68,2318592,$260.86,$265.32,$249.41
11/30/2021,$254.19,3072708,$261.74,$263,$252.49
11/29/2021,$261.15,3192413,$257.21,$266.43,$254.02
