Date,Close/Last,Volume,Open,High,Low
12/28/2021,$282.77,681840,$285,$285.37,$281.61
12/27/2021,$284.3,721705,$282.95,$285.3799,$281.26
12/23/2021,$280.99,1079189,$282.13,$283.52,$280.2
12/22/2021,$282.61,979654,$280.65,$284.515,$279
12/21/2021,$280.42,1103764,$278.94,$282.12,$272.99
12/20/2021,$275.12,1651616,$270,$276.82,$268.04
12/17/2021,$277.65,2767817,$269.75,$279.7,$267.836
12/16/2021,$269.61,1956029,$273.4,$277.525,$268.44
12/15/2021,$271.73,2003760,$262.68,$272.07,$262.67
12/14/2021,$263.22,1145889,$262.835,$268.79,$260.945
12/13/2021,$268.88,1293221,$267.89,$273.625,$265.585
12/10/2021,$269,1237366,$271.02,$274.2284,$267.68
12/09/2021,$267.67,1582951,$275.48,$279.9999,$267.52
12/08/2021,$276.29,1824796,$277.39,$278.64,$273.475
12/07/2021,$276.7,2716540,$270.59,$278.55,$267.28
12/06/2021,$265.56,2260147,$259.53,$267.84,$254.16
12/03/2021,$259.02,2411587,$259.61,$263.49,$253.05
12/02/2021,$257.66,2473667,$252.743,$258.54,$250.81
12/01/2021,$249.68,2318592,$260.86,$265.32,$249.41
11/30/2021,$254.19,3072708,$261.74,$263,$252.49
11/29/2021,$261.15,3192413,$257.21,$266.43,$254.02
11/26/2021,$254.17,2180855,$258.18,$260,$252.62
11/24/2021,$256.9,10904560,$262.88,$268.35,$245.05
11/23/2021,$304,2303369,$308.98,$310.7,$297.73
11/22/2021,$310.48,1380055,$324.14,$325.21,$310.45
11/19/2021,$322.52,1355448,$325.58,$327.14,$321.64
11/18/2021,$322.18,1194939,$330.96,$331.77,$320.98
11/17/2021,$330.55,1400979,$334.8,$335.48,$328.54
11/16/2021,$333.64,1161694,$326,$334.195,$325.24
11/15/2021,$326.39,865474,$330.74,$332.46,$325.09
11/12/2021,$329.32,709741,$327.25,$331.62,$326.27
11/11/2021,$325.21,720409,$323.08,$327.79,$322.0256
11/10/2021,$320.53,1148606,$328.87,$330.3,$319.29
11/09/2021,$329.4,1110470,$328.415,$334.51,$327.9
11/08/2021,$329.07,911494,$327.15,$330.25,$325.02
11/05/2021,$324.52,1306682,$320,$325.64,$319.62
11/04/2021,$318.97,956821,$308.86,$319.72,$308.38
11/03/2021,$308.37,1409203,$313.71,$314.245,$302.01
11/02/2021,$314.92,993013,$315.31,$317.73,$312.77
11/01/2021,$315.01,697802,$318.5,$319.74,$313.1769
10/29/2021,$317.61,1061269,$315.53,$318.74,$313.71
10/28/2021,$317.1,932044,$309.22,$317.63,$308.6989
10/27/2021,$308.51,865660,$313.37,$314.98,$307.53
10/26/2021,$312.8,980027,$312.26,$315,$311.95
10/25/2021,$311.79,913496,$308.69,$313.45,$307.27
10/22/2021,$308.58,1162108,$306,$312.48,$305.68
10/21/2021,$305.68,1099588,$298.25,$306.35,$298.11
10/20/2021,$298.64,915146,$297.81,$299.19,$295.39
10/19/2021,$296.69,849496,$294.54,$297.55,$292.34
10/18/2021,$292.67,766528,$290.21,$293.05,$289.36
10/15/2021,$291.19,931739,$290.806,$291.88,$289.35
10/14/2021,$289.17,799610,$286.85,$289.94,$286.01
10/13/2021,$283.45,883052,$278.67,$284.48,$278.67
10/12/2021,$275.91,1117108,$275.3,$278.38,$275.105
10/11/2021,$276.54,681016,$276.65,$280.3,$276.41
10/08/2021,$278.94,797433,$284.045,$284.36,$278.73
10/07/2021,$283.02,909472,$280.13,$285.4425,$280.13
10/06/2021,$277.42,940627,$272.95,$278.66,$271.75
10/05/2021,$275.98,953716,$274.93,$278.85,$274.35
10/04/2021,$272.93,1747790,$282.87,$283.99,$271.09
10/01/2021,$284.06,1245767,$283.8,$286.51,$279.79
09/30/2021,$285.17,1668489,$290.33,$292.57,$284.96
09/29/2021,$287.99,1162959,$290.42,$292.88,$286.9
09/28/2021,$287.85,1835859,$288.64,$291.59,$283.745
09/27/2021,$294.06,1677529,$294,$295.29,$289.34
09/24/2021,$294.67,1067759,$290.495,$295.34,$290.495
09/23/2021,$292.16,1061674,$287.86,$293.32,$287.4
09/22/2021,$286.42,1054836,$283.88,$288.78,$283.6597
09/21/2021,$283.19,720011,$285.72,$286.17,$282.09
09/20/2021,$283.6,1168746,$282.52,$286.66,$279.84
09/17/2021,$288.15,2113743,$290.87,$292.2,$286.54
09/16/2021,$290.68,1433244,$287.11,$291.21,$285.22
09/15/2021,$286.62,1430073,$280.58,$287.3,$278.56
09/14/2021,$279.35,1278843,$282.19,$282.93,$278.6
09/13/2021,$281.28,1518076,$284.51,$286.29,$278.46
09/10/2021,$284.43,1565311,$288.66,$290.59,$284.11
09/09/2021,$287.68,1444831,$289.81,$292.5,$285.7
09/08/2021,$289.56,1504351,$286.45,$289.81,$284.7955
09/07/2021,$287.46,2177358,$290.76,$290.89,$284.475
09/03/2021,$288.75,1819609,$286.7,$293,$284.5
09/02/2021,$287.47,5475722,$306.5,$306.84,$285.35
09/01/2021,$303.24,3085384,$311.8,$315.46,$300.79
08/31/2021,$310.09,1567030,$313.13,$314.29,$309.11
08/30/2021,$313.39,1411918,$316.94,$318.72,$310.16
08/27/2021,$315.64,1840676,$314.23,$318.23,$310.15
08/26/2021,$310.19,5486136,$317.2,$324,$308.025
08/25/2021,$342.27,1502079,$342.52,$343.56,$339.33
08/24/2021,$341.07,1032526,$338.98,$344.39,$338.48
08/23/2021,$336.76,1253152,$336,$338.275,$334.02
08/20/2021,$334.38,860187,$331.65,$335.27,$330.55
08/19/2021,$330.35,1226383,$322.7,$332.37,$322.46
08/18/2021,$323.52,913826,$323.57,$326.06,$322.23
08/17/2021,$324.7,1086494,$328.56,$328.89,$322.58
08/16/2021,$330.18,924127,$332.31,$332.67,$326.65
08/13/2021,$332.78,754468,$333.94,$334,$330.25
08/12/2021,$332.05,884540,$327.4,$332.415,$325.58
08/11/2021,$328.64,1021187,$332,$333.57,$325.35
08/10/2021,$331.28,874896,$332.85,$335.67,$328.77
08/09/2021,$332.77,763172,$333.175,$333.88,$330.29
08/06/2021,$332.77,856913,$327.46,$334.06,$326.67
08/05/2021,$328.82,1342825,$331.1,$331.5,$326.75
08/04/2021,$329.09,1341772,$328,$331.12,$326.0224
08/03/2021,$327.61,1043158,$323.03,$328.19,$320.85
08/02/2021,$322.07,914043,$321.41,$324.13,$319.15
07/30/2021,$321.13,1311526,$318.3,$321.725,$317.005
07/29/2021,$320.5,1457481,$313.68,$322.68,$312.68
07/28/2021,$313.13,1024553,$309.41,$314.0925,$306.07
07/27/2021,$308.25,1076592,$314.04,$314.37,$304.31
07/26/2021,$313.62,903724,$312,$313.96,$309.81
07/23/2021,$312.65,1066809,$310.19,$314.92,$309.3
07/22/2021,$308.51,1083552,$302.87,$309.33,$302.05
07/21/2021,$301.78,867812,$294.82,$302.1074,$294.42
07/20/2021,$296.12,1169646,$287.9,$298.635,$285.92
07/19/2021,$287.31,1048069,$289.58,$290,$284.42
07/16/2021,$293.33,698216,$296.78,$297.63,$293.08
07/15/2021,$294.79,839751,$297.48,$298,$292.0552
07/14/2021,$297.1,1052458,$298.5,$300.725,$296.14
07/13/2021,$296.42,1051144,$292.44,$297.22,$290.93
07/12/2021,$291.93,888471,$297.62,$298.7,$290.31
07/09/2021,$295.38,1027843,$294.03,$296.96,$290.49
07/08/2021,$294.47,1180959,$292.3,$296.13,$290.04
07/07/2021,$296.11,999349,$296.651,$299.205,$293.46
07/06/2021,$295.6,1446369,$298.19,$301,$294.12
07/02/2021,$297.74,667429,$295.03,$298.31,$295.03
07/01/2021,$293.7,757908,$291.78,$295.22,$290.61
06/30/2021,$291.9,977848,$296.67,$296.8702,$290.93
06/29/2021,$297.74,1146454,$292.36,$298.14,$290.13
06/28/2021,$293.36,994348,$290.22,$295,$289.27
06/25/2021,$288.74,1943454,$288.86,$289.895,$285.6018
06/24/2021,$286.96,817291,$286.71,$289.1,$285.88
06/23/2021,$283.67,922920,$286.61,$286.65,$282.68
06/22/2021,$286.07,881097,$283.46,$286.41,$282.7873
06/21/2021,$283.22,1189932,$278.47,$283.5,$275.8672
06/18/2021,$277.98,1627643,$275.52,$281.13,$275.01
06/17/2021,$276.34,1894010,$272.16,$278.8,$271.1506
06/16/2021,$273.71,1207906,$277,$278.315,$271.25
06/15/2021,$276.76,1151726,$281.26,$281.715,$275.97
06/14/2021,$280.52,1177052,$278.29,$281.28,$276.76
06/11/2021,$277.51,985847,$278.5,$281.36,$277.13
06/10/2021,$277.5,1444299,$275.31,$280.105,$274.3373
06/09/2021,$275.5,1245794,$280.99,$280.99,$275.205
06/08/2021,$278.66,809026,$281.99,$283.39,$278.255
06/07/2021,$278.89,1431396,$283.97,$283.97,$276.11
06/04/2021,$284.78,1138779,$277.97,$285.33,$275.859
06/03/2021,$274.47,1468631,$276.15,$278.67,$271.7
06/02/2021,$279.67,937644,$280.84,$284,$278.35
06/01/2021,$281.3,1206067,$287,$287.41,$280.01
05/28/2021,$285.86,1948492,$287,$291.5,$282.15
05/27/2021,$286.67,2369823,$290.25,$291.17,$284.795
05/26/2021,$292.51,1192521,$288.72,$293.49,$288.09
05/25/2021,$289.47,1119897,$288.28,$291.48,$287.06
05/24/2021,$287.48,914096,$285.29,$288.515,$283.83
05/21/2021,$281.68,996278,$283.63,$285,$279.33
05/20/2021,$281.16,971222,$275.21,$282.97,$275.21
05/19/2021,$273.97,821251,$267.63,$274.71,$266.7901
05/18/2021,$272.75,811972,$276.35,$276.9791,$272.56
05/17/2021,$274.78,755055,$275,$275.61,$270.35
05/14/2021,$277.63,1154548,$272.52,$278.82,$270.16
